12;écolier;4;[1];3;0;
"la liberté de pouvoir  faire ce que on veux";"le fait d'avoir des chose que il y avez pas auparavant"
0;4;3;4;3;2;2;3;3
"la deuxième mais que un un peux plus car il y avez une chose de plus a faire";" non"
" amusant";incompréansible;" ";" companion";0;0;
;" "
