12;ecolier;4;[2];3;3;"scrap mecanic"
rien;"un cheval ce bat contre un vilagoie"
"la deuxième";"sans opinion";"ni l'une ni l'autre";"ni l'une ni l'autre";"ni l'une ni l'autre";"ni l'une ni l'autre";"sans opinion";"plutôt la deuxième";"ni l'une ni l'autre"
" la version 1.7.10";" non"
" ";" ";" le deuxième pour la nourriture";"oui, absolument";non
vert;" plaine";bleue;foret;rouge;sapin
